縣市 ID, 鄉鎮市區 ID, URL
旗津區 , 6000031 , http://www.cec.gov.tw/zh_TW/P1/n600003100000000.html
三民區 , 6000032 , http://www.cec.gov.tw/zh_TW/P1/n600003200000000.html
前金區 , 6000033 , http://www.cec.gov.tw/zh_TW/P1/n600003300000000.html
新興區 , 6000034 , http://www.cec.gov.tw/zh_TW/P1/n600003400000000.html
苓雅區 , 6000035 , http://www.cec.gov.tw/zh_TW/P1/n600003500000000.html
前鎮區 , 6000036 , http://www.cec.gov.tw/zh_TW/P1/n600003600000000.html
鳳山區 , 6000037 , http://www.cec.gov.tw/zh_TW/P1/n600003700000000.html
小港區 , 6000038 , http://www.cec.gov.tw/zh_TW/P1/n600003800000000.html
宜蘭市 , 7080001 , http://www.cec.gov.tw/zh_TW/P1/n708000100000000.html
羅東鎮 , 7080002 , http://www.cec.gov.tw/zh_TW/P1/n708000200000000.html
蘇澳鎮 , 7080003 , http://www.cec.gov.tw/zh_TW/P1/n708000300000000.html
頭城鎮 , 7080004 , http://www.cec.gov.tw/zh_TW/P1/n708000400000000.html
礁溪鄉 , 7080005 , http://www.cec.gov.tw/zh_TW/P1/n708000500000000.html
壯圍鄉 , 7080006 , http://www.cec.gov.tw/zh_TW/P1/n708000600000000.html
員山鄉 , 7080007 , http://www.cec.gov.tw/zh_TW/P1/n708000700000000.html
冬山鄉 , 7080008 , http://www.cec.gov.tw/zh_TW/P1/n708000800000000.html
五結鄉 , 7080009 , http://www.cec.gov.tw/zh_TW/P1/n708000900000000.html
三星鄉 , 7080010 , http://www.cec.gov.tw/zh_TW/P1/n708001000000000.html
大同鄉 , 7080011 , http://www.cec.gov.tw/zh_TW/P1/n708001100000000.html
南澳鄉 , 7080012 , http://www.cec.gov.tw/zh_TW/P1/n708001200000000.html
竹北市 , 7010001 , http://www.cec.gov.tw/zh_TW/P1/n701000100000000.html
竹東鎮 , 7010002 , http://www.cec.gov.tw/zh_TW/P1/n701000200000000.html
新埔鎮 , 7010003 , http://www.cec.gov.tw/zh_TW/P1/n701000300000000.html
關西鎮 , 7010004 , http://www.cec.gov.tw/zh_TW/P1/n701000400000000.html
湖口鄉 , 7010005 , http://www.cec.gov.tw/zh_TW/P1/n701000500000000.html
新豐鄉 , 7010006 , http://www.cec.gov.tw/zh_TW/P1/n701000600000000.html
芎林鄉 , 7010007 , http://www.cec.gov.tw/zh_TW/P1/n701000700000000.html
橫山鄉 , 7010008 , http://www.cec.gov.tw/zh_TW/P1/n701000800000000.html
北埔鄉 , 7010009 , http://www.cec.gov.tw/zh_TW/P1/n701000900000000.html
寶山鄉 , 7010010 , http://www.cec.gov.tw/zh_TW/P1/n701001000000000.html
峨眉鄉 , 7010011 , http://www.cec.gov.tw/zh_TW/P1/n701001100000000.html
尖石鄉 , 7010012 , http://www.cec.gov.tw/zh_TW/P1/n701001200000000.html
五峰鄉 , 7010013 , http://www.cec.gov.tw/zh_TW/P1/n701001300000000.html
竹南鎮 , 7020001 , http://www.cec.gov.tw/zh_TW/P1/n702000100000000.html
造橋鄉 , 7020002 , http://www.cec.gov.tw/zh_TW/P1/n702000200000000.html
後龍鎮 , 7020003 , http://www.cec.gov.tw/zh_TW/P1/n702000300000000.html
西湖鄉 , 7020004 , http://www.cec.gov.tw/zh_TW/P1/n702000400000000.html
通霄鎮 , 7020005 , http://www.cec.gov.tw/zh_TW/P1/n702000500000000.html
銅鑼鄉 , 7020006 , http://www.cec.gov.tw/zh_TW/P1/n702000600000000.html
苑裡鎮 , 7020007 , http://www.cec.gov.tw/zh_TW/P1/n702000700000000.html
三義鄉 , 7020008 , http://www.cec.gov.tw/zh_TW/P1/n702000800000000.html
頭份市 , 7020009 , http://www.cec.gov.tw/zh_TW/P1/n702000900000000.html
三灣鄉 , 7020010 , http://www.cec.gov.tw/zh_TW/P1/n702001000000000.html
南庄鄉 , 7020011 , http://www.cec.gov.tw/zh_TW/P1/n702001100000000.html
苗栗市 , 7020012 , http://www.cec.gov.tw/zh_TW/P1/n702001200000000.html
頭屋鄉 , 7020013 , http://www.cec.gov.tw/zh_TW/P1/n702001300000000.html
獅潭鄉 , 7020014 , http://www.cec.gov.tw/zh_TW/P1/n702001400000000.html
公館鄉 , 7020015 , http://www.cec.gov.tw/zh_TW/P1/n702001500000000.html
大湖鄉 , 7020016 , http://www.cec.gov.tw/zh_TW/P1/n702001600000000.html
泰安鄉 , 7020017 , http://www.cec.gov.tw/zh_TW/P1/n702001700000000.html
卓蘭鎮 , 7020018 , http://www.cec.gov.tw/zh_TW/P1/n702001800000000.html
伸港鄉 , 7030001 , http://www.cec.gov.tw/zh_TW/P1/n703000100000000.html
線西鄉 , 7030002 , http://www.cec.gov.tw/zh_TW/P1/n703000200000000.html
和美鎮 , 7030003 , http://www.cec.gov.tw/zh_TW/P1/n703000300000000.html
鹿港鎮 , 7030004 , http://www.cec.gov.tw/zh_TW/P1/n703000400000000.html
褔興鄉 , 7030005 , http://www.cec.gov.tw/zh_TW/P1/n703000500000000.html
秀水鄉 , 7030006 , http://www.cec.gov.tw/zh_TW/P1/n703000600000000.html
彰化市 , 7030007 , http://www.cec.gov.tw/zh_TW/P1/n703000700000000.html
花壇鄉 , 7030008 , http://www.cec.gov.tw/zh_TW/P1/n703000800000000.html
芬園鄉 , 7030009 , http://www.cec.gov.tw/zh_TW/P1/n703000900000000.html
芳苑鄉 , 7030010 , http://www.cec.gov.tw/zh_TW/P1/n703001000000000.html
二林鎮 , 7030011 , http://www.cec.gov.tw/zh_TW/P1/n703001100000000.html
埔鹽鄉 , 7030012 , http://www.cec.gov.tw/zh_TW/P1/n703001200000000.html
溪湖鎮 , 7030013 , http://www.cec.gov.tw/zh_TW/P1/n703001300000000.html
埔心鄉 , 7030014 , http://www.cec.gov.tw/zh_TW/P1/n703001400000000.html
大城鄉 , 7030015 , http://www.cec.gov.tw/zh_TW/P1/n703001500000000.html
竹塘鄉 , 7030016 , http://www.cec.gov.tw/zh_TW/P1/n703001600000000.html
埤頭鄉 , 7030017 , http://www.cec.gov.tw/zh_TW/P1/n703001700000000.html
北斗鎮 , 7030018 , http://www.cec.gov.tw/zh_TW/P1/n703001800000000.html
溪州鄉 , 7030019 , http://www.cec.gov.tw/zh_TW/P1/n703001900000000.html
大村鄉 , 7030020 , http://www.cec.gov.tw/zh_TW/P1/n703002000000000.html
員林市 , 7030021 , http://www.cec.gov.tw/zh_TW/P1/n703002100000000.html
永靖鄉 , 7030022 , http://www.cec.gov.tw/zh_TW/P1/n703002200000000.html
社頭鄉 , 7030023 , http://www.cec.gov.tw/zh_TW/P1/n703002300000000.html
田尾鄉 , 7030024 , http://www.cec.gov.tw/zh_TW/P1/n703002400000000.html
田中鎮 , 7030025 , http://www.cec.gov.tw/zh_TW/P1/n703002500000000.html
二水鄉 , 7030026 , http://www.cec.gov.tw/zh_TW/P1/n703002600000000.html
草屯鎮 , 7040001 , http://www.cec.gov.tw/zh_TW/P1/n704000100000000.html
國姓鄉 , 7040002 , http://www.cec.gov.tw/zh_TW/P1/n704000200000000.html
埔里鎮 , 7040003 , http://www.cec.gov.tw/zh_TW/P1/n704000300000000.html
仁愛鄉 , 7040004 , http://www.cec.gov.tw/zh_TW/P1/n704000400000000.html
中寮鄉 , 7040005 , http://www.cec.gov.tw/zh_TW/P1/n704000500000000.html
魚池鄉 , 7040006 , http://www.cec.gov.tw/zh_TW/P1/n704000600000000.html
南投市 , 7040007 , http://www.cec.gov.tw/zh_TW/P1/n704000700000000.html
名間鄉 , 7040008 , http://www.cec.gov.tw/zh_TW/P1/n704000800000000.html
集集鎮 , 7040009 , http://www.cec.gov.tw/zh_TW/P1/n704000900000000.html
竹山鎮 , 7040010 , http://www.cec.gov.tw/zh_TW/P1/n704001000000000.html
鹿谷鄉 , 7040011 , http://www.cec.gov.tw/zh_TW/P1/n704001100000000.html
水里鄉 , 7040012 , http://www.cec.gov.tw/zh_TW/P1/n704001200000000.html
信義鄉 , 7040013 , http://www.cec.gov.tw/zh_TW/P1/n704001300000000.html
麥寮鄉 , 7050001 , http://www.cec.gov.tw/zh_TW/P1/n705000100000000.html
臺西鄉 , 7050002 , http://www.cec.gov.tw/zh_TW/P1/n705000200000000.html
東勢鄉 , 7050003 , http://www.cec.gov.tw/zh_TW/P1/n705000300000000.html
褒忠鄉 , 7050004 , http://www.cec.gov.tw/zh_TW/P1/n705000400000000.html
土庫鎮 , 7050005 , http://www.cec.gov.tw/zh_TW/P1/n705000500000000.html
虎尾鎮 , 7050006 , http://www.cec.gov.tw/zh_TW/P1/n705000600000000.html
四湖鄉 , 7050007 , http://www.cec.gov.tw/zh_TW/P1/n705000700000000.html
元長鄉 , 7050008 , http://www.cec.gov.tw/zh_TW/P1/n705000800000000.html
口湖鄉 , 7050009 , http://www.cec.gov.tw/zh_TW/P1/n705000900000000.html
水林鄉 , 7050010 , http://www.cec.gov.tw/zh_TW/P1/n705001000000000.html
北港鎮 , 7050011 , http://www.cec.gov.tw/zh_TW/P1/n705001100000000.html
崙背鄉 , 7050012 , http://www.cec.gov.tw/zh_TW/P1/n705001200000000.html
二崙鄉 , 7050013 , http://www.cec.gov.tw/zh_TW/P1/n705001300000000.html
西螺鎮 , 7050014 , http://www.cec.gov.tw/zh_TW/P1/n705001400000000.html
莿桐鄉 , 7050015 , http://www.cec.gov.tw/zh_TW/P1/n705001500000000.html
林內鄉 , 7050016 , http://www.cec.gov.tw/zh_TW/P1/n705001600000000.html
斗六市 , 7050017 , http://www.cec.gov.tw/zh_TW/P1/n705001700000000.html
大埤鄉 , 7050018 , http://www.cec.gov.tw/zh_TW/P1/n705001800000000.html
斗南鎮 , 7050019 , http://www.cec.gov.tw/zh_TW/P1/n705001900000000.html
