can_number,region_number,can_name,can_vote,region_name
2,500001200000000,蔡英文,"9,036",總統副總統選舉 候選人在 臺南市 官田區得票數 
3,500001200000000,宋楚瑜,943,總統副總統選舉 候選人在 臺南市 官田區得票數 
1,500001400000000,朱立倫,"5,976",總統副總統選舉 候選人在 臺南市 佳里區得票數 
2,500001400000000,蔡英文,"22,318",總統副總統選舉 候選人在 臺南市 佳里區得票數 
3,500001400000000,宋楚瑜,"2,683",總統副總統選舉 候選人在 臺南市 佳里區得票數 
1,500001600000000,朱立倫,"4,669",總統副總統選舉 候選人在 臺南市 善化區得票數 
2,500001600000000,蔡英文,"17,593",總統副總統選舉 候選人在 臺南市 善化區得票數 
3,500001600000000,宋楚瑜,"2,156",總統副總統選舉 候選人在 臺南市 善化區得票數 
1,500001700000000,朱立倫,"1,010",總統副總統選舉 候選人在 臺南市 大內區得票數 
2,500001700000000,蔡英文,"3,984",總統副總統選舉 候選人在 臺南市 大內區得票數 
3,500001700000000,宋楚瑜,524,總統副總統選舉 候選人在 臺南市 大內區得票數 
