can_number,region_number,can_name,can_vote,region_name
1,600000300000000,朱立倫,"1,021",高雄市甲仙區
2,600000300000000,蔡英文,"1,678",高雄市甲仙區
3,600000300000000,宋楚瑜,427,高雄市甲仙區
1,600000400000000,朱立倫,"1,617",高雄市六龜區
2,600000400000000,蔡英文,"4,145",高雄市六龜區
3,600000400000000,宋楚瑜,679,高雄市六龜區
1,600000500000000,朱立倫,"1,643",高雄市杉林區
2,600000500000000,蔡英文,"3,660",高雄市杉林區
3,600000500000000,宋楚瑜,557,高雄市杉林區
1,600000600000000,朱立倫,"2,162",高雄市內門區
2,600000600000000,蔡英文,"5,440",高雄市內門區
3,600000600000000,宋楚瑜,853,高雄市內門區
1,600000700000000,朱立倫,"4,942",高雄市旗山區
2,600000700000000,蔡英文,"13,840",高雄市旗山區
3,600000700000000,宋楚瑜,"2,101",高雄市旗山區
1,600000800000000,朱立倫,"6,801",高雄市美濃區
2,600000800000000,蔡英文,"13,471",高雄市美濃區
3,600000800000000,宋楚瑜,"2,496",高雄市美濃區
1,600000900000000,朱立倫,577,高雄市茂林區
2,600000900000000,蔡英文,166,高雄市茂林區
3,600000900000000,宋楚瑜,152,高雄市茂林區
1,600001000000000,朱立倫,"3,133",高雄市阿蓮區
2,600001000000000,蔡英文,"11,280",高雄市阿蓮區
3,600001000000000,宋楚瑜,"1,556",高雄市阿蓮區
1,600001100000000,朱立倫,884,高雄市田寮區
2,600001100000000,蔡英文,"3,250",高雄市田寮區
3,600001100000000,宋楚瑜,446,高雄市田寮區
1,600001200000000,朱立倫,"4,126",高雄市燕巢區
2,600001200000000,蔡英文,"11,445",高雄市燕巢區
3,600001200000000,宋楚瑜,"1,701",高雄市燕巢區
1,600001300000000,朱立倫,"3,985",高雄市大社區
2,600001300000000,蔡英文,"13,663",高雄市大社區
3,600001300000000,宋楚瑜,"2,038",高雄市大社區
1,600001400000000,朱立倫,"5,392",高雄市大樹區
2,600001400000000,蔡英文,"17,115",高雄市大樹區
3,600001400000000,宋楚瑜,"2,069",高雄市大樹區
1,600001500000000,朱立倫,"3,018",高雄市茄萣區
2,600001500000000,蔡英文,"11,172",高雄市茄萣區
3,600001500000000,宋楚瑜,"1,950",高雄市茄萣區
1,600001600000000,朱立倫,"3,386",高雄市湖內區
2,600001600000000,蔡英文,"11,145",高雄市湖內區
3,600001600000000,宋楚瑜,"1,757",高雄市湖內區
1,600001700000000,朱立倫,"6,622",高雄市路竹區
2,600001700000000,蔡英文,"18,661",高雄市路竹區
3,600001700000000,宋楚瑜,"3,154",高雄市路竹區
1,600001800000000,朱立倫,"1,754",高雄市永安區
2,600001800000000,蔡英文,"5,023",高雄市永安區
3,600001800000000,宋楚瑜,889,高雄市永安區
1,600001900000000,朱立倫,"14,645",高雄市岡山區
2,600001900000000,蔡英文,"32,841",高雄市岡山區
3,600001900000000,宋楚瑜,"6,424",高雄市岡山區
1,600002000000000,朱立倫,"2,771",高雄市彌陀區
2,600002000000000,蔡英文,"7,127",高雄市彌陀區
3,600002000000000,宋楚瑜,"1,331",高雄市彌陀區
1,600002100000000,朱立倫,"4,072",高雄市梓官區
2,600002100000000,蔡英文,"14,812",高雄市梓官區
3,600002100000000,宋楚瑜,"1,990",高雄市梓官區
1,600002300000000,朱立倫,"26,817",高雄市楠梓區
2,600002300000000,蔡英文,"57,284",高雄市楠梓區
3,600002300000000,宋楚瑜,"10,566",高雄市楠梓區
1,600002200000000,朱立倫,"4,476",高雄市橋頭區
2,600002200000000,蔡英文,"16,051",高雄市橋頭區
3,600002200000000,宋楚瑜,"1,920",高雄市橋頭區
1,600002400000000,朱立倫,"33,590",高雄市左營區
2,600002400000000,蔡英文,"53,842",高雄市左營區
3,600002400000000,宋楚瑜,"11,838",高雄市左營區
1,600002500000000,朱立倫,"9,011",高雄市仁武區
2,600002500000000,蔡英文,"30,598",高雄市仁武區
3,600002500000000,宋楚瑜,"4,820",高雄市仁武區
1,600002600000000,朱立倫,"6,180",高雄市鳥松區
2,600002600000000,蔡英文,"16,323",高雄市鳥松區
3,600002600000000,宋楚瑜,"2,495",高雄市鳥松區
1,600002700000000,朱立倫,"13,625",高雄市大寮區
2,600002700000000,蔡英文,"40,528",高雄市大寮區
3,600002700000000,宋楚瑜,"6,268",高雄市大寮區
1,600002800000000,朱立倫,"6,982",高雄市林園區
2,600002800000000,蔡英文,"25,904",高雄市林園區
3,600002800000000,宋楚瑜,"3,519",高雄市林園區
1,600002900000000,朱立倫,"21,871",高雄市鼓山區
2,600002900000000,蔡英文,"43,077",高雄市鼓山區
3,600002900000000,宋楚瑜,"7,728",高雄市鼓山區
1,600003000000000,朱立倫,"3,748",高雄市鹽埕區
2,600003000000000,蔡英文,"9,707",高雄市鹽埕區
3,600003000000000,宋楚瑜,"1,386",高雄市鹽埕區
1,600003100000000,朱立倫,"2,906",高雄市旗津區
2,600003100000000,蔡英文,"11,022",高雄市旗津區
3,600003100000000,宋楚瑜,"1,340",高雄市旗津區
1,600003200000000,朱立倫,"49,489",高雄市三民區
2,600003200000000,蔡英文,"122,668",高雄市三民區
3,600003200000000,宋楚瑜,"19,453",高雄市三民區
1,600003300000000,朱立倫,"4,531",高雄市前金區
2,600003300000000,蔡英文,"9,526",高雄市前金區
3,600003300000000,宋楚瑜,"1,569",高雄市前金區
1,600003400000000,朱立倫,"8,346",高雄市新興區
2,600003400000000,蔡英文,"17,932",高雄市新興區
3,600003400000000,宋楚瑜,"2,901",高雄市新興區
1,600003500000000,朱立倫,"28,264",高雄市苓雅區
2,600003500000000,蔡英文,"59,698",高雄市苓雅區
3,600003500000000,宋楚瑜,"10,019",高雄市苓雅區
1,600003600000000,朱立倫,"27,045",高雄市前鎮區
2,600003600000000,蔡英文,"68,743",高雄市前鎮區
3,600003600000000,宋楚瑜,"10,817",高雄市前鎮區
1,600003700000000,朱立倫,"51,865",高雄市鳳山區
2,600003700000000,蔡英文,"116,337",高雄市鳳山區
3,600003700000000,宋楚瑜,"21,593",高雄市鳳山區
1,600003800000000,朱立倫,"18,983",高雄市小港區
2,600003800000000,蔡英文,"55,157",高雄市小港區
3,600003800000000,宋楚瑜,"8,459",高雄市小港區
1,708000100000000,朱立倫,"13,955",宜蘭縣宜蘭市
2,708000100000000,蔡英文,"27,184",宜蘭縣宜蘭市
3,708000100000000,宋楚瑜,"6,244",宜蘭縣宜蘭市
1,708000200000000,朱立倫,"9,209",宜蘭縣羅東鎮
2,708000200000000,蔡英文,"22,361",宜蘭縣羅東鎮
3,708000200000000,宋楚瑜,"4,207",宜蘭縣羅東鎮
1,708000300000000,朱立倫,"4,992",宜蘭縣蘇澳鎮
2,708000300000000,蔡英文,"13,111",宜蘭縣蘇澳鎮
3,708000300000000,宋楚瑜,"2,601",宜蘭縣蘇澳鎮
1,708000400000000,朱立倫,"4,530",宜蘭縣頭城鎮
2,708000400000000,蔡英文,"7,532",宜蘭縣頭城鎮
3,708000400000000,宋楚瑜,"2,205",宜蘭縣頭城鎮
1,708000500000000,朱立倫,"4,801",宜蘭縣礁溪鄉
2,708000500000000,蔡英文,"11,904",宜蘭縣礁溪鄉
3,708000500000000,宋楚瑜,"2,212",宜蘭縣礁溪鄉
1,708000600000000,朱立倫,"2,855",宜蘭縣壯圍鄉
2,708000600000000,蔡英文,"8,542",宜蘭縣壯圍鄉
3,708000600000000,宋楚瑜,"1,335",宜蘭縣壯圍鄉
1,708000700000000,朱立倫,"3,576",宜蘭縣員山鄉
